time/fps,per/beta,_timestamp,rollout/ep_rew_mean,locals/num_collected_steps,global_step,trajectory/video,rollout/ep_len_mean,rollout/exploration_rate,_step,per/max_priority,train/loss,train/n_updates,locals/infos_0_lives,locals/rewards,eval/mean_ep_length,_runtime,time/_episode_num,locals/num_collected_episodes,eval/mean_reward,train/learning_rate,run
,,1780098922.8785195,,,153805.0,,,,1024,,,,,"{'_type': 'histogram', 'values': [1], 'bins': [0, 1e-12]}",,0.571954368,,,,,Dueling DDQN+PER
,,1780098922.8786216,,,153805.0,,,,1026,80.12615,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098922.8786693,15.42,,153805.0,,,,1028,,,,,,,0.571954368,,,,,Dueling DDQN+PER
318.0,,1780098922.8787344,,,153805.0,,,,1031,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098932.9768558,15.3,,155397.0,,,,1042,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098943.4511492,,,157069.0,,,,1054,80.12615,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098943.4512658,,,157069.0,,,,1060,,,,,,,0.571954368,,,,5e-05,Dueling DDQN+PER
,,1780098954.268386,15.35,,158783.0,,,,1070,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098965.5102217,,,160549.0,,,,1078,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,0.4160548,1780098965.5112236,,,160549.0,,,,1081,,,,,,,0.571954368,,,,,Dueling DDQN+PER
305.0,,1780098965.51131,,,160549.0,,,,1087,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098976.2335932,,,162273.0,,,,1096,80.12615,,,,,,0.571954368,,,,,Dueling DDQN+PER
302.0,,1780098976.2336597,,,162273.0,,,,1101,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098976.2336853,,,162273.0,,,,1103,,0.020905575,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780098988.640671,,,164231.0,,,,1114,,,,,,,0.571954368,375.0,,,,Dueling DDQN+PER
,,1780099000.2439468,,,166071.0,,,,1120,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,0.4168424,1780099015.1135027,,,168425.0,,,,1137,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099015.1135778,,,168425.0,,,,1142,,,,,,,0.571954368,383.0,,,,Dueling DDQN+PER
,,1780099026.1679623,,,170179.0,,,,1147,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099037.640424,,,171997.0,,437.5,,1167,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099047.7827013,15.94,,173603.0,,,,1182,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099047.7827203,,,173603.0,,,0.9040361,1183,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099047.7831428,,,173603.0,,,,1186,,,,,,,0.571954368,,,,5e-05,Dueling DDQN+PER
,0.417512,1780099057.3163674,,,175121.0,,,,1193,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099057.3165076,,,175121.0,,,,1200,,,,,,,0.571954368,,,,5e-05,Dueling DDQN+PER
,,1780099057.316541,,,175121.0,,,,1202,,,18780.0,,,,0.571954368,,,,,Dueling DDQN+PER
,0.4176888,1780099068.4698877,,,176891.0,,,,1207,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099068.4699988,,,176891.0,,,0.9022186,1211,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099068.4700198,,,176891.0,,,,1212,,,,,,,0.571954368,403.0,,,,Dueling DDQN+PER
,,1780099068.4701023,,,176891.0,,,,1216,,,19222.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099081.9590938,,,179013.0,,,,1218,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780099081.9591105,,1.0,179013.0,,,,1219,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099081.96019,,,179013.0,,,0.9010456,1225,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099093.0174654,,,180747.0,,,,1231,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099093.0175045,,,180747.0,,,,1232,,,,,,,0.571954368,,0.0,,,Dueling DDQN+PER
,,1780099093.018897,,,180747.0,,,,1236,80.12615,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099104.7070947,,,182579.0,,,,1258,,,20644.0,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099115.5591621,,,184285.0,,,,1259,,,,0.0,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099115.5592146,,1.0,184285.0,,,,1261,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099115.56029,,,184285.0,,444.46,,1265,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099115.5603373,,,184285.0,,,,1268,,,,,,,0.571954368,419.0,,,,Dueling DDQN+PER
272.0,,1780099115.560353,,,184285.0,,,,1269,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099126.5430543,16.81,,186011.0,,,,1280,,,,,,,0.571954368,,,,,Dueling DDQN+PER
270.0,,1780099126.543104,,,186011.0,,,,1283,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,0.4187872,1780099138.4406104,,,187873.0,,,,1291,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099138.4406567,16.69,,187873.0,,,,1294,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,0.41899,1780099151.3747168,,,189903.0,,,,1305,,,,,,,0.571954368,,,,,Dueling DDQN+PER
,,1780099151.3747895,,,189903.0,,,,1310,,,,,,,0.571954368,431.0,,,,Dueling DDQN+PER
,,1780099151.3752186,,,189903.0,,,,1312,,,,,,,0.571954368,,,,5e-05,Dueling DDQN+PER
,,1780099162.2787693,16.57,,191603.0,,,,1322,,,,,,,0.571954368,,,,,Dueling DDQN+PER
