_step,eval/mean_reward,train/n_updates,train/learning_rate,locals/rewards,_timestamp,rollout/ep_len_mean,locals/infos_0_lives,locals/num_collected_steps,global_step,eval/mean_ep_length,train/loss,time/_episode_num,rollout/ep_rew_mean,locals/num_collected_episodes,_runtime,trajectory/video,rollout/exploration_rate,time/fps,run
913,,,,,1780167067.734497,,,,149637.0,,,,,0.0,0.593633398,,,,Dueling DDQN
916,,,,,1780167067.7353597,445.02,,,149637.0,,,,,,0.593633398,,,,Dueling DDQN
919,,,,,1780167067.7354171,,,,149637.0,,,339.0,,,0.593633398,,,,Dueling DDQN
920,,,,,1780167067.7354305,,,,149637.0,,,,,,0.593633398,,,366.0,Dueling DDQN
921,,,5e-05,,1780167067.735443,,,,149637.0,,,,,,0.593633398,,,,Dueling DDQN
924,,,,,1780167080.4510663,,,,150000.0,452.8,,,,,0.593633398,,,,Dueling DDQN
927,,,,,1780167080.4511442,,,,150000.0,,,,,0.0,0.593633398,,,,Dueling DDQN
928,,,,,1780167080.451166,,,3.0,150000.0,,,,,,0.593633398,,,,Dueling DDQN
937,,,,,1780167088.643522,,,3.0,151307.0,,,,,,0.593633398,,,,Dueling DDQN
939,,,,,1780167088.6445644,442.54,,,151307.0,,,,,,0.593633398,,,,Dueling DDQN
945,,,,,1780167088.6446917,,,,151307.0,,0.026160635,,,,0.593633398,,,,Dueling DDQN
946,,12826.0,,,1780167088.6447067,,,,151307.0,,,,,,0.593633398,,,,Dueling DDQN
947,,,,,1780167098.5704498,,0.0,,153071.0,,,,,,0.593633398,,,,Dueling DDQN
953,,,,,1780167098.5714338,,,,153071.0,,,,,,0.593633398,,0.9153857,,Dueling DDQN
954,,,,,1780167098.571448,,,,153071.0,,,347.0,,,0.593633398,,,,Dueling DDQN
955,,,,,1780167098.5714617,,,,153071.0,,,,,,0.593633398,,,348.0,Dueling DDQN
956,,,5e-05,,1780167098.5714748,,,,153071.0,,,,,,0.593633398,,,,Dueling DDQN
961,,,,,1780167111.4554808,,,3.0,155391.0,,,,,,0.593633398,,,,Dueling DDQN
965,,,,,1780167111.4569364,,,,155391.0,,,,,,0.593633398,,0.9141033,,Dueling DDQN
